Website,Link,Network operator,Link Load time,Link dead or not
,https://www.usa.gov/labor-laws,Airtel,952,N
,https://www.usa.gov/family,Airtel,998,N
,https://www.usa.gov/scams-and-frauds,Airtel,1269.4,N
,https://www.usa.gov/government-works,Airtel,842.6,N
,https://www.usa.gov/voting-laws-history,Airtel,810.6,N
,https://www.usa.gov/disability-rights,Airtel,769.2,N
,https://www.usa.gov/life-in-the-us,Airtel,934.2,N
,https://www.usa.gov/presidents,Airtel,1128.4,N
,https://www.usa.gov/branches-of-government,Airtel,1004.8,N
,https://www.usa.gov/budget,Airtel,911,N
,https://www.usa.gov/#,Airtel,994.4,N
,https://www.usa.gov/auctions-and-sales,Airtel,857.8,N
,https://www.usa.gov/state-surplus-sales,Airtel,802,N
,https://www.usa.gov/elected-officials,Airtel,1199.6,N
,https://www.usa.gov/forms,Airtel,976,N
,https://www.usa.gov/#,Airtel,897,N
,https://www.usa.gov/elected-officials,Airtel,768.4,N
,https://www.usa.gov/state-governor,Airtel,853.4,N
,https://www.usa.gov/tribes,Airtel,858,N
,https://www.usa.gov/local-governments,Airtel,729.2,N
,https://www.usa.gov/state-attorney-general,Airtel,1013.6,N
,https://www.usa.gov/state-consumer,Airtel,873.6,N
,https://www.usa.gov/state-emergency-management,Airtel,898,N
,https://www.usa.gov/states-and-territories,Airtel,697.4,N
,https://www.usa.gov/state-health,Airtel,787.2,N
,https://www.usa.gov/state-courts,Airtel,873.8,N
,https://www.usa.gov/state-travel-and-tourism,Airtel,897.6,N
,https://www.usa.gov/#,Airtel,882.4,N
,https://www.usa.gov/doctors,Airtel,908.4,N
,https://www.usa.gov/child-care,Airtel,1054,N
,https://www.usa.gov/health-resources,Airtel,1052.6,N
,https://www.usa.gov/#,Airtel,902.8,N
,https://www.usa.gov/finding-health-insurance,Airtel,925.8,N
,https://www.usa.gov/medicaid,Airtel,804,N
,https://www.usa.gov/medicare,Airtel,876.6,N
,https://www.usa.gov/paying-for-medical,Airtel,944.8,N
,https://www.usa.gov/medicine,Airtel,795,N
,https://www.usa.gov/mental-health-substance-abuse,Airtel,960.8,N
,https://www.usa.gov/state-health,Airtel,751,N
,https://www.usa.gov/vaccinations,Airtel,706,N
,https://www.usa.gov/#,Airtel,966,N
,https://www.usa.gov/finding-home,Airtel,910.2,N
,https://www.usa.gov/foreclosure,Airtel,882,N
,https://www.usa.gov/buying-home,Airtel,843.6,N
,https://www.usa.gov/housing-help-audiences,Airtel,899,N
,https://www.usa.gov/housing-scams,Airtel,901.4,N
,https://www.usa.gov/housing-complaints,Airtel,951.8,N
,https://www.usa.gov/mortgages,Airtel,763.6,N
,https://www.usa.gov/moving,Airtel,928.8,N
,https://www.usa.gov/repairing-home,Airtel,1013.6,N
,https://www.usa.gov/post-office,Airtel,875.8,N
,https://www.usa.gov/#,Airtel,821.6,N
,https://www.usa.gov/labor-laws,Airtel,794.8,N
,https://www.usa.gov/#,Airtel,741,N
,https://www.usa.gov/government-jobs,Airtel,914.8,N
,https://www.usa.gov/find-a-job,Airtel,986.2,N
,https://www.usa.gov/retirement,Airtel,1123.4,N
,https://www.usa.gov/#,Airtel,846.4,N
,https://www.usa.gov/business-search,Airtel,996.2,N
,https://www.usa.gov/funding-options,Airtel,934.2,N
,https://www.usa.gov/import-export,Airtel,940.8,N
,https://www.usa.gov/#,Airtel,932.4,N
,https://www.usa.gov/expand-business,Airtel,957.6,N
,https://www.usa.gov/find-government-contracts,Airtel,3310.2,N
,https://www.usa.gov/business-taxes,Airtel,1483.4,N
,https://www.usa.gov/start-business,Airtel,1026.2,N
,https://www.usa.gov/state-business,Airtel,1051.8,N
,https://www.usa.gov/#,Airtel,1602.2,N
